Scientific_Name,Common_Name,Conservation_Status,Global_Population
Panthera pardus orientalis,Amur Leopard,Critically Endangered,120
Diceros bicornis,Black Rhinoceros,Critically Endangered,5630
Odocoileus virginianus,White-tailed Deer,Least Concern,30000000
Turdus migratorius,American Robin,Least Concern,310000000
Ailurus fulgens,Red Panda,Endangered,10000
Loxodonta africana,African Elephant,Vulnerable,415000
Lycaon pictus,African Wild Dog,Endangered,6600
Vulpes lagopus,Arctic Fox,Least Concern,500000
Elephas maximus,Asian Elephant,Endangered,45000
Castor canadensis,American Beaver,Least Concern,15000000
Mustela nigripes,Black-footed Ferret,Endangered,300
Balaenoptera musculus,Blue Whale,Endangered,15000
Pan paniscus,Bonobo,Endangered,15000
Pongo pygmaeus,Bornean Orangutan,Critically Endangered,104700
Ursus arctos,Brown Bear,Least Concern,200000
Acinonyx jubatus,Cheetah,Vulnerable,7100
Pan troglodytes,Chimpanzee,Endangered,300000
Ailuropoda melanoleuca,Giant Panda,Vulnerable,1864
Panthera tigris,Tiger,Endangered,3900
Panthera uncia,Snow Leopard,Vulnerable,4000
Gorilla beringei,Eastern Gorilla,Critically Endangered,1000
Ursus maritimus,Polar Bear,Vulnerable,26000
Aptenodytes forsteri,Emperor Penguin,Near Threatened,595000
Phascolarctos cinereus,Koala,Vulnerable,300000
Ornithorhynchus anatinus,Platypus,Near Threatened,300000
Osphranter rufus,Red Kangaroo,Least Concern,11000000
Panthera leo,Lion,Vulnerable,20000
Panthera onca,Jaguar,Near Threatened,173000
Canis lupus,Gray Wolf,Least Concern,250000
Delphinapterus leucas,Beluga Whale,Near Threatened,150000
Gorilla gorilla,Western Gorilla,Critically Endangered,316000
Pongo abelii,Sumatran Orangutan,Critically Endangered,13800
Rhinoceros unicornis,Greater One-horned Rhinoceros,Vulnerable,4000
Ceratotherium simum,White Rhinoceros,Near Threatened,16000
Equus grevyi,Grevy's Zebra,Endangered,2800
Hippopotamus amphibius,Hippopotamus,Vulnerable,115000
Giraffa camelopardalis,Giraffe,Vulnerable,117000
Macaca silenus,Lion-tailed Macaque,Endangered,2500
Trachypithecus geei,Golden Langur,Endangered,6000
